Macrophage
T cell
Macrophage
Epithelial cell
Mast cell
Epithelial cell
Macrophage
Epithelial cell
Endothelial cell
B cell
Macrophage
B cell
T cell
Epithelial cell
B cell
Macrophage
T cell
T cell
Macrophage
T cell
Macrophage
Epithelial cell
T cell
Macrophage
Epithelial cell
Fibroblast
T cell
T cell
Epithelial cell
Macrophage
T cell
B cell
Epithelial cell
Epithelial cell
T cell
B cell
Epithelial cell
Epithelial cell
B cell
T cell
Mast cell
Epithelial cell
Mast cell
Epithelial cell
Epithelial cell
Epithelial cell
T cell
T cell
T cell
Fibroblast
Epithelial cell
Macrophage
B cell
Macrophage
T cell
Macrophage
Epithelial cell
Epithelial cell
Epithelial cell
Endothelial cell
T cell
T cell
Macrophage
Macrophage
T cell
B cell
B cell
Macrophage
Epithelial cell
T cell
Epithelial cell
T cell
T cell
Epithelial cell
Macrophage
Epithelial cell
T cell
B cell
Fibroblast
Macrophage
B cell
Epithelial cell
T cell
Fibroblast
Epithelial cell
T cell
Fibroblast
Epithelial cell
T cell
Macrophage
Epithelial cell
T cell
B cell
B cell
Epithelial cell
Epithelial cell
Fibroblast
Epithelial cell
Epithelial cell
Epithelial cell
Epithelial cell
Macrophage
Mast cell
T cell
Macrophage
Epithelial cell
T cell
Macrophage
Epithelial cell
B cell
T cell
B cell
Macrophage
Epithelial cell
Macrophage
T cell
Mast cell
T cell
T cell
B cell
Macrophage
Epithelial cell
Epithelial cell
T cell
T cell
T cell
B cell
Macrophage
Fibroblast
Macrophage
T cell
Macrophage
Macrophage
Epithelial cell
Epithelial cell
Epithelial cell
Macrophage
Epithelial cell
T cell
T cell
T cell
Epithelial cell
T cell
T cell
Macrophage
T cell
T cell
Mast cell
T cell
B cell
Macrophage
Epithelial cell
Endothelial cell
Macrophage
Epithelial cell
Epithelial cell
T cell
Macrophage
Epithelial cell
Epithelial cell
Epithelial cell
B cell
T cell
Epithelial cell
Macrophage
Macrophage
Epithelial cell
Macrophage
T cell
T cell
Epithelial cell
Epithelial cell
T cell
Epithelial cell
T cell
T cell
B cell
Macrophage
Epithelial cell
Macrophage
Macrophage
Fibroblast
T cell
T cell
Fibroblast
B cell
Fibroblast
Epithelial cell
T cell
T cell
Macrophage
Epithelial cell
Macrophage
T cell
T cell
B cell
T cell
Fibroblast
Epithelial cell
Macrophage
Epithelial cell
B cell
Endothelial cell
Macrophage
Epithelial cell
T cell
T cell
Macrophage
Epithelial cell
Macrophage
Macrophage
